File	writing_system	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
swh	Latn	5.604	5.0	35	2802	0.0125	338	500	0.676	7.927558046616572
tgl	Latn	4.826	4.0	42	2413	0.0174	267	500	0.534	7.006713721613427
tml	Latn	5.579234972677596	5	33	1021	0.0323	126	183	0.6885	6.6449781501631975
tha	Thai	2.752	2.0	195	1376	0.1417	298	500	0.596	7.809027280996744
tiw	Latn	5.61	5.0	33	2805	0.0118	267	500	0.534	7.51207364433899
vie	Latn	3.462	3.0	95	1731	0.0549	295	500	0.59	7.873524581147718
vie	Hani	3.37	3.0	93	1685	0.0552	319	500	0.638	8.004278916965973
wyb	Latn	7.976	7.0	27	3988	0.0068	369	500	0.738	8.254544284860188
wba	Latn	5.97	6.0	29	2985	0.0097	307	500	0.614	7.742148430330889
pav	Latn	3.776	3.0	27	1888	0.0143	209	500	0.418	6.91885822770483
pes	Arab	3.85	4.0	76	1925	0.0395	350	500	0.7	8.05119963374989
kew	Latn	4.824	4.0	28	2412	0.0116	260	500	0.52	7.511472058563946
kjq	Latn	3.258	3.0	44	1629	0.027	181	500	0.362	5.660310119786487
wic	Latn	9.658	7.0	30	4829	0.0062	357	500	0.714	8.163842627192848
mzh	Latn	5.042	5.0	42	2521	0.0167	277	500	0.554	7.218388908153345
yad	Latn	7.49	7.0	43	3745	0.0115	353	500	0.706	7.9979731626306965
yaq	Latn	5.036	5.0	31	2518	0.0123	265	500	0.53	7.376256947029242
yor	Latn	3.518	3.0	50	1759	0.0284	225	500	0.45	7.04950474912986
zul	Latn	7.758	8.0	33	3879	0.0085	407	500	0.814	8.508950491737583
