File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
spa	4.703	4.0	46	9406	0.0049	1012	2000	0.506	8.703096921589069
fra	4.788	4.0	52	9576	0.0054	1005	2000	0.5025	8.889736221643858
eng	4.5155	4.0	40	9031	0.0044	1029	2000	0.5145	8.93726178180427
deu	5.4255	4.0	54	10851	0.005	1087	2000	0.5435	9.186054092339555
spp	3.525274725274725	3	57	1604	0.0355	192	455	0.421978021978022	6.76025836334315
swh	5.638	5.0	36	11276	0.0032	1023	2000	0.5115	9.065932778383736
tgl	4.911	4.0	50	9822	0.0051	916	2000	0.458	8.263534706773822
tml	5.579234972677596	5	33	1021	0.0323	126	183	0.6885245901639344	6.6449781501631975
tha	2.7455	2.0	321	5491	0.0585	803	2000	0.4015	8.688205802055096
tiw	5.791867677463818	5	34	8404	0.004	534	1451	0.3680220537560303	8.174023048022867
vie	3.359	3.0	103	6718	0.0153	831	2000	0.4155	8.887176755821246
wyb	8.002155172413794	7.0	30	7426	0.004	596	928	0.6422413793103449	8.739658150878494
wba	5.9425	6.0	32	11885	0.0027	801	2000	0.4005	8.71802156921892
pav	3.7115	3.0	27	7423	0.0036	461	2000	0.2305	7.3959977929837315
pes	3.872	4.0	117	7744	0.0151	1167	2000	0.5835	9.445862689819382
kew	5.097	4.0	32	10194	0.0031	758	2000	0.379	8.520596701508168
kjq	3.1995	3.0	50	6399	0.0078	488	2000	0.244	6.362325199174975
wic	9.59851851851852	7	30	6479	0.0046	443	675	0.6562962962962963	8.374274522294996
mzh	5.2445	5.0	43	10489	0.0041	810	2000	0.405	8.045046560931631
yad	7.6215	7.0	46	15243	0.003	1089	2000	0.5445	9.20029026463982
yaq	5.2835	5.0	31	10567	0.0029	795	2000	0.3975	8.420413737473055
yor	3.4635	3.0	60	6927	0.0087	659	2000	0.3295	7.972556025657811
zul	7.7145	8.0	38	15429	0.0025	1271	2000	0.6355	9.822631283900158
